City,Region,Country,AirQuality,WaterPollution,ZIP_Start,ZIP_End
New York City,NY,United States of America,46.81603774,49.5049505,10000,10292
San Francisco,CA,United States of America,60.51401869,43.0,94080,94199
Los Angeles,CA,United States of America,36.62162162,61.29943503,90001,91494
Huntington Beach,CA,United States of America,85.71428571,65.625,92605,92649
San Diego,CA,United States of America,74.38271605,52.36486486,92101,92199
San Jose,CA,United States of America,62.20930233,41.25,95101,95199
Long Beach,CA,United States of America,50.0,32.69230769,90801,90899
Oakland,CA,United States of America,72.14285714,33.33333333,94601,94666
Sacramento,CA,United States of America,55.09259259,39.89361702,94203,95899
Brooklyn,NY,United States of America,52.08333333,33.65384615,11201,11256
Las Vegas,NV,United States of America,51.72413793,49.69135802,89030,89199
Albany,NY,United States of America,87.5,31.25,12201,12288
Buffalo,NY,United States of America,77.08333333,36.95652174,14201,14280
Carson City,NV,United States of America,100.0,50.0,89701,89721
Fresno,CA,United States of America,21.25,78.125,93650,93888
Santa Monica,CA,United States of America,66.66666667,54.16666667,90401,90411
Palo Alto,CA,United States of America,56.25,50.0,94301,94310
San Luis Obispo,CA,United States of America,92.5,45.83333333,93401,93410
Rochester,NY,United States of America,64.70588235,47.91666667,14445,14694
Irvine,CA,United States of America,63.15789474,33.33333333,92602,92730
Fremont,CA,United States of America,79.16666667,15.0,94536,94555
Reno,NV,United States of America,70.93023256,28.84615385,89501,89599
Stockton,CA,United States of America,44.23076923,71.875,95201,95298
Riverside,CA,United States of America,45.83333333,53.33333333,92501,92522
Santa Ana,CA,United States of America,50.0,55.0,92701,92799
Anaheim,CA,United States of America,55.76923077,33.33333333,92801,92899
Bakersfield,CA,United States of America,16.66666667,68.47826087,93301,93399
Henderson,NV,United States of America,67.85714286,35.0,89002,89077
Chula Vista,CA,United States of America,37.5,75.0,91909,91921
Garden Grove,CA,United States of America,75.0,0.0,92641,92846
Napa,CA,United States of America,92.85714286,37.5,94558,94581
Beverly Hills,CA,United States of America,100.0,0.0,90209,90213
Yonkers,NY,United States of America,100.0,50.0,10701,10710
Niagara Falls,NY,United States of America,100.0,50.0,14301,14305
Oyster Bay,NY,United States of America,100.0,25.0,11771,11771
Livermore,CA,United States of America,75.0,54.16666667,94550,94551
Santa Cruz,CA,United States of America,88.23529412,34.61538462,95060,95065
Santa Clara,CA,United States of America,75.0,35.0,95050,95056
Santa Barbara,CA,United States of America,83.82352941,56.25,93101,93190
Crescent City,CA,United States of America,100.0,0.0,95531,95532
