State,state_code,official_population,official_margin_of_error,official_percent_estimate,official_percent_estimate_margin_of_error,spm_population,spm_margin_of_error,spm_percent_estimate,spm_percent_estimate_margin_of_error
Alabama,AL,726000,90000,14.6,1.8,513000,92000,10.3,1.9
Alaska,AK,83000,10000,11.7,1.4,70000,8000,9.8,1.1
Arizona,AZ,806000,92000,11.2,1.3,646000,97000,9,1.4
Arkansas,AR,447000,41000,15.1,1.3,287000,29000,9.7,1
California,CA,4323000,205000,11,0.5,5160000,214000,13.2,0.5
Colorado,CO,511000,104000,8.9,1.8,538000,72000,9.4,1.3
Connecticut,CT,325000,46000,9.2,1.3,319000,48000,9,1.3
Delaware,DE,95000,13000,9.6,1.3,83000,11000,8.4,1.1
District of Columbia,DC,97000,8000,14.5,1.2,98000,9000,14.6,1.3
Florida,FL,2688000,186000,12.5,0.9,2563000,153000,11.9,0.7
Georgia,GA,1383000,174000,13.1,1.7,1081000,114000,10.2,1.1
Hawaii,HI,144000,19000,10.1,1.4,149000,18000,10.5,1.3
Idaho,ID,158000,16000,8.5,0.9,111000,13000,6,0.7
Illinois,IL,1175000,90000,9.3,0.7,984000,80000,7.8,0.6
Indiana,IN,733000,60000,10.9,0.9,500000,61000,7.4,0.9
Iowa,IA,301000,39000,9.5,1.2,191000,37000,6,1.1
Kansas,KS,248000,43000,8.6,1.5,173000,32000,6,1.1
Kentucky,KY,650000,72000,14.6,1.6,442000,59000,9.9,1.4
Louisiana,LA,786000,56000,17.2,1.2,533000,42000,11.7,0.9
Maine,ME,125000,18000,9.2,1.4,73000,17000,5.4,1.2
Maryland,MD,493000,65000,8,1.1,589000,68000,9.6,1.1
Massachusetts,MA,547000,60000,7.9,0.9,559000,63000,8,0.9
Michigan,MI,1090000,114000,11,1.2,755000,89000,7.6,0.9
Minnesota,MN,395000,58000,7,1,287000,38000,5.1,0.7
Mississippi,MS,529000,66000,18.1,2.3,347000,35000,11.9,1.2
Missouri,MO,656000,104000,10.8,1.7,453000,78000,7.5,1.3
Montana,MT,114000,11000,10.4,1,89000,9000,8.2,0.9
Nebraska,NE,164000,19000,8.4,1,120000,17000,6.2,0.9
Nevada,NV,375000,38000,12.1,1.2,290000,34000,9.3,1.1
New Hampshire,NH,78000,12000,5.6,0.9,76000,12000,5.5,0.9
New Jersey,NJ,675000,74000,7.4,0.8,742000,77000,8.1,0.8
New Mexico,NM,347000,28000,16.7,1.4,221000,19000,10.6,0.9
New York,NY,2413000,147000,12.3,0.7,2373000,156000,12.1,0.8
North Carolina,NC,1338000,105000,12.8,1,1034000,91000,9.9,0.9
North Dakota,ND,69000,7000,9.1,1,55000,7000,7.1,0.9
Ohio,OH,1439000,138000,12.3,1.2,946000,91000,8.1,0.8
Oklahoma,OK,539000,61000,13.8,1.5,356000,42000,9.1,1.1
Oregon,OR,373000,48000,9,1.2,293000,30000,7,0.7
Pennsylvania,PA,1275000,130000,10,1,966000,95000,7.6,0.8
Rhode Island,RI,99000,16000,9,1.4,65000,10000,6,0.9
South Carolina,SC,723000,70000,14.1,1.4,515000,53000,10,1
South Dakota,SD,89000,20000,10.2,2.3,54000,9000,6.2,1
Tennessee,TN,845000,89000,12.2,1.3,630000,85000,9.1,1.2
Texas,TX,3733000,207000,12.9,0.7,3020000,178000,10.4,0.6
Utah,UT,247000,54000,7.5,1.7,214000,41000,6.5,1.3
Vermont,VT,52000,7000,8.2,1.1,44000,7000,6.9,1.1
Virginia,VA,748000,92000,8.8,1.1,733000,81000,8.6,0.9
Washington,WA,581000,97000,7.6,1.3,537000,69000,7,0.9
West Virginia,WV,265000,29000,15,1.6,166000,20000,9.4,1.1
Wisconsin,WI,501000,75000,8.6,1.3,314000,42000,5.4,0.7
Wyoming,WY,53000,6000,9.4,1.1,41000,5000,7.3,0.9
