number_of_violations,grade,facility_zip,STATE,poverty_percent,AirQuality,WaterPollution
4,A,90049,CA,11.0,36.62162162,61.29943503
5,A,90049,CA,11.0,36.62162162,61.29943503
4,A,90049,CA,11.0,36.62162162,61.29943503
6,A,90049,CA,11.0,36.62162162,61.29943503
5,A,90049,CA,11.0,36.62162162,61.29943503
3,A,90049,CA,11.0,36.62162162,61.29943503
6,A,90036,CA,11.0,36.62162162,61.29943503
6,A,90036,CA,11.0,36.62162162,61.29943503
7,A,90036,CA,11.0,36.62162162,61.29943503
8,A,90036,CA,11.0,36.62162162,61.29943503
7,A,90036,CA,11.0,36.62162162,61.29943503
9,A,90036,CA,11.0,36.62162162,61.29943503
8,A,90012,CA,11.0,36.62162162,61.29943503
8,A,90012,CA,11.0,36.62162162,61.29943503
8,A,90012,CA,11.0,36.62162162,61.29943503
4,A,90012,CA,11.0,36.62162162,61.29943503
7,A,90012,CA,11.0,36.62162162,61.29943503
3,A,90012,CA,11.0,36.62162162,61.29943503
2,A,90018,CA,11.0,36.62162162,61.29943503
3,A,90018,CA,11.0,36.62162162,61.29943503
1,A,90018,CA,11.0,36.62162162,61.29943503
3,A,90012,CA,11.0,36.62162162,61.29943503
3,A,90012,CA,11.0,36.62162162,61.29943503
5,A,90012,CA,11.0,36.62162162,61.29943503
3,A,90012,CA,11.0,36.62162162,61.29943503
3,A,90012,CA,11.0,36.62162162,61.29943503
10,A,90029,CA,11.0,36.62162162,61.29943503
16,A,90029,CA,11.0,36.62162162,61.29943503
16,A,90029,CA,11.0,36.62162162,61.29943503
18,A,90029,CA,11.0,36.62162162,61.29943503
12,A,90029,CA,11.0,36.62162162,61.29943503
4,A,90045,CA,11.0,36.62162162,61.29943503
3,A,90045,CA,11.0,36.62162162,61.29943503
2,A,90045,CA,11.0,36.62162162,61.29943503
10,A,90029,CA,11.0,36.62162162,61.29943503
16,A,90029,CA,11.0,36.62162162,61.29943503
16,A,90029,CA,11.0,36.62162162,61.29943503
12,A,90029,CA,11.0,36.62162162,61.29943503
14,A,90029,CA,11.0,36.62162162,61.29943503
14,A,90029,CA,11.0,36.62162162,61.29943503
12,B,90029,CA,11.0,36.62162162,61.29943503
12,A,90029,CA,11.0,36.62162162,61.29943503
12,A,90029,CA,11.0,36.62162162,61.29943503
12,A,90028,CA,11.0,36.62162162,61.29943503
6,A,90028,CA,11.0,36.62162162,61.29943503
6,A,90028,CA,11.0,36.62162162,61.29943503
4,A,90007,CA,11.0,36.62162162,61.29943503
2,A,90007,CA,11.0,36.62162162,61.29943503
4,A,90007,CA,11.0,36.62162162,61.29943503
2,A,90036,CA,11.0,36.62162162,61.29943503
2,A,90059,CA,11.0,36.62162162,61.29943503
4,A,90059,CA,11.0,36.62162162,61.29943503
4,A,90059,CA,11.0,36.62162162,61.29943503
2,A,90059,CA,11.0,36.62162162,61.29943503
10,B,90057,CA,11.0,36.62162162,61.29943503
13,B,90057,CA,11.0,36.62162162,61.29943503
12,B,90057,CA,11.0,36.62162162,61.29943503
11,B,90057,CA,11.0,36.62162162,61.29943503
14,B,90057,CA,11.0,36.62162162,61.29943503
10,B,90057,CA,11.0,36.62162162,61.29943503
11,B,90057,CA,11.0,36.62162162,61.29943503
18,A,90018,CA,11.0,36.62162162,61.29943503
16,A,90018,CA,11.0,36.62162162,61.29943503
10,A,90018,CA,11.0,36.62162162,61.29943503
8,A,90018,CA,11.0,36.62162162,61.29943503
16,A,90018,CA,11.0,36.62162162,61.29943503
14,A,90018,CA,11.0,36.62162162,61.29943503
10,A,90018,CA,11.0,36.62162162,61.29943503
14,A,90018,CA,11.0,36.62162162,61.29943503
2,A,90023,CA,11.0,36.62162162,61.29943503
6,A,90023,CA,11.0,36.62162162,61.29943503
6,A,90023,CA,11.0,36.62162162,61.29943503
14,A,90045,CA,11.0,36.62162162,61.29943503
8,A,90045,CA,11.0,36.62162162,61.29943503
8,A,90045,CA,11.0,36.62162162,61.29943503
8,A,90045,CA,11.0,36.62162162,61.29943503
20,B,90045,CA,11.0,36.62162162,61.29943503
10,A,90045,CA,11.0,36.62162162,61.29943503
8,A,90045,CA,11.0,36.62162162,61.29943503
4,A,90039,CA,11.0,36.62162162,61.29943503
5,A,90039,CA,11.0,36.62162162,61.29943503
5,A,90039,CA,11.0,36.62162162,61.29943503
5,A,90039,CA,11.0,36.62162162,61.29943503
5,A,90039,CA,11.0,36.62162162,61.29943503
5,A,90039,CA,11.0,36.62162162,61.29943503
5,A,90039,CA,11.0,36.62162162,61.29943503
4,A,90039,CA,11.0,36.62162162,61.29943503
4,A,90027,CA,11.0,36.62162162,61.29943503
4,A,90027,CA,11.0,36.62162162,61.29943503
7,A,90048,CA,11.0,36.62162162,61.29943503
6,A,90048,CA,11.0,36.62162162,61.29943503
6,A,90048,CA,11.0,36.62162162,61.29943503
7,A,90048,CA,11.0,36.62162162,61.29943503
5,A,90048,CA,11.0,36.62162162,61.29943503
6,A,90048,CA,11.0,36.62162162,61.29943503
6,A,90048,CA,11.0,36.62162162,61.29943503
4,A,90048,CA,11.0,36.62162162,61.29943503
2,A,90028,CA,11.0,36.62162162,61.29943503
3,A,90028,CA,11.0,36.62162162,61.29943503
